year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,236,7.5,16.3,23.1,0.64,1,0,0,0,1.8,0
2002,237,10.1,16.5,23.8,0.82,0.9,0,0,0,1.7,0
2002,238,18.6,15.2,23.2,0.85,1.2,0,0,0,1.59,0
2002,239,18.6,14.3,21.5,0.91,1.8,0,0,0,0,0
2002,240,15.4,12.7,17.3,0.67,1.8,0,0,0,0,0
2002,241,3.3,12.8,18.3,0.84,1.5,14.6,0,0,0,0
2002,242,7.5,13,17.3,0.71,1.5,8,0,0,0,0
2002,243,9.1,11.1,17.8,0.82,5.7,13.6,0,0,0,0
2002,244,15.7,11.4,16.2,0.7,3.4,0.1,0,0,0,0
2002,245,12.2,11.3,17.7,0.86,1.6,0,0,0,0,0
2002,246,17.1,12.2,18.1,0.79,0.8,0.1,0,0,0,0
2002,247,4.2,11,19.6,0.98,0.9,8.3,0,0,0,0
2002,248,8.5,13.4,16.8,0.72,1.7,12.1,0,0,0,0
2002,249,11.7,11.5,16.2,0.7,1.1,17,0,0,0,0
2002,250,13,12.1,17.2,0.74,1.4,5.2,0,0,0,0
2002,251,12.3,12.6,20.4,0.86,1.1,9.8,0,0,0,0
2002,252,17.2,17,24.2,0.61,1.5,0,0,0,0,0
2002,253,15.9,14.9,24.8,0.85,1.4,0,0,0,0,0
2002,254,17,14.3,23.5,0.86,1,0.1,0,0,0,0
2002,255,16.3,13.4,20.1,0.89,1.1,0,0,0,0,0
2002,256,12.4,13.5,18.2,0.8,3,0.1,0,0,0,0
2002,257,14.8,11.6,18.2,0.81,2.4,0,0,0,0,0
2002,258,11.7,9.6,16.9,0.83,1.4,0,0,0,0,0
2002,259,8.5,12.1,15.7,0.74,3.5,0,0,0,0,0
2002,260,8,11,14.5,0.7,3.3,0.3,0,0,0,0
2002,261,13.2,9.6,14.6,0.67,3.8,0,0,0,0,0
2002,262,6.7,9,13.7,0.8,1,4.7,0,0,0,0
2002,263,12,10,13.8,0.69,2.4,4.4,0,0,0,0
2002,264,11.3,8.8,13.7,0.73,1.7,1.4,0,0,0,0
2002,265,13.6,7.4,15.5,0.79,1.1,0,0,0,0,0
2002,266,6.9,8.5,12,0.6,1.2,0.4,0,0,0,0
2002,267,4.8,10.3,13.4,0.73,2.8,3.1,0,0,0,0
2002,268,4.3,10.6,13.1,0.72,2.3,4.2,0,0,0,0
2002,269,5.2,9.2,12,0.7,0.7,2.7,0,0,0,0
2002,270,4.1,9.2,13.7,0.81,1.1,3.1,0,0,0,0
2002,271,5.6,10.5,14.7,0.71,3.5,0.8,0,0,0,0
2002,272,5.4,12.1,15,0.66,2.5,0,0,0,0,0
2002,273,2.6,12.1,14.9,0.74,1.2,0.2,0,0,0,0
2002,274,5.3,11.2,16.1,0.82,0.5,0,0,0,0,0
2002,275,10.1,10.8,16.2,0.78,0.8,0.1,0,0,0,0
2002,276,3.2,9.7,13.6,0.76,2.1,5.1,0,0,0,0
2002,277,9.2,8.8,13.5,0.73,3.6,4.6,0,0,0,0
2002,278,2.7,7.7,11.1,0.72,0.9,19.7,0,0,0,0
2002,279,3.7,4.7,8.4,0.75,1.2,15.5,0,0,0,0
2002,280,8.4,3.6,9.9,0.56,1.3,1.3,0,0,0,0
2002,281,10.8,2.6,8.9,0.5,1.5,0,0,0,0,0
2002,282,10.7,4,9.3,0.52,1.5,0,0,0,0,0
